emblem,name,date,gen,channel_url,Subs,vids
🐻,Tokino Sora,2017-09-07,hololive Generation 0,https://www.youtube.com/@TokinoSora,1.21M subscribers,1.2K videos
🤖,Roboco,2018-03-04,hololive Generation 0,https://www.youtube.com/@Robocosan,1.02M subscribers,1.5K videos
🌸,Sakura Miko,2018-08-01,hololive Generation 0,https://www.youtube.com/@SakuraMiko,2.14M subscribers,1.5K videos
☄️,Hoshimachi Suisei,2018-03-22,hololive Generation 0,https://www.youtube.com/@HoshimachiSuisei,2.44M subscribers,842 videos
⚒️,AZKi,2018-11-15,hololive Generation 0,https://www.youtube.com/@AZKi,1.07M subscribers,745 videos
🌽,Shirakami Fubuki,2018-06-01,"hololive 1st Generation, hololive Gamers",https://www.youtube.com/@ShirakamiFubuki,2.42M subscribers,2.4K videos
🏮,Natsuiro Matsuri,2018-06-01,hololive 1st Generation,https://www.youtube.com/@NatsuiroMatsuri,1.43M subscribers,1.2K videos
🍎,Aki Rosenthal,2018-06-01,hololive 1st Generation,https://www.youtube.com/@AkiRosenthal,906K subscribers,1.2K videos
❤️‍🔥,Akai Haato,2018-06-02,hololive 1st Generation,https://www.youtube.com/@AkaiHaato,1.51M subscribers,1.3K videos
🌙,Murasaki Shion,2018-08-17,hololive 2nd Generation,https://www.youtube.com/@MurasakiShion,1.25M subscribers,610 videos
😈,Nakiri Ayame,2018-09-03,hololive 2nd Generation,https://www.youtube.com/@NakiriAyame,1.55M subscribers,364 videos
💋,Yuzuki Choco,2018-09-04,hololive 2nd Generation,https://www.youtube.com/@YuzukiChoco,1.06M subscribers,899 videos
🚑,Oozora Subaru,2018-09-16,hololive 2nd Generation,https://www.youtube.com/@OozoraSubaru,1.73M subscribers,1.4K videos
🌲,Ookami Mio,2018-12-07,hololive Gamers,https://www.youtube.com/@OokamiMio,1.21M subscribers,1.1K videos
🍙,Nekomata Okayu,2019-04-06,hololive Gamers,https://www.youtube.com/@NekomataOkayu,1.85M subscribers,1.2K videos
🥐,Inugami Korone,2019-04-13,hololive Gamers,https://www.youtube.com/@InugamiKorone,2.12M subscribers,1K videos
👯,Usada Pekora,2019-07-17,hololive 3rd Generation,https://www.youtube.com/@UsadaPekora,2.6M subscribers,1.8K videos
🔥,Shiranui Flare,2019-08-07,hololive 3rd Generation,https://www.youtube.com/@ShiranuiFlare,1.09M subscribers,1.3K videos
⚔️,Shirogane Noel,2019-08-08,hololive 3rd Generation,https://www.youtube.com/@ShiroganeNoel,1.93M subscribers,1.2K videos
🏴‍☠️,Houshou Marine,2019-08-11,hololive 3rd Generation,https://www.youtube.com/@HoushouMarine,3.38M subscribers,1.3K videos
💫,Amane Kanata,2019-12-27,hololive 4th Generation,https://www.youtube.com/@AmaneKanata,1.52M subscribers,1.5K videos
🐏,Tsunomaki Watame,2019-12-29,hololive 4th Generation,https://www.youtube.com/@TsunomakiWatame,1.57M subscribers,2K videos
👾,Tokoyami Towa,2020-01-03,hololive 4th Generation,https://www.youtube.com/@TokoyamiTowa,1.43M subscribers,1.3K videos
🍬,Himemori Luna,2020-01-04,hololive 4th Generation,https://www.youtube.com/@HimemoriLuna,1.03M subscribers,1K videos
☃️,Yukihana Lamy,2020-08-12,hololive 5th Generation,https://www.youtube.com/@YukihanaLamy,1.26M subscribers,1.3K videos
🍑🥟,Momosuzu Nene,2020-08-13,hololive 5th Generation,https://www.youtube.com/@MomosuzuNene,1.22M subscribers,1K videos
♌,Shishiro Botan,2020-08-14,hololive 5th Generation,https://www.youtube.com/@ShishiroBotan,1.45M subscribers,1K videos
🎪,Omaru Polka,2020-08-16,hololive 5th Generation,https://www.youtube.com/@OmaruPolka,1.24M subscribers,1.5K videos
🐿️,Ayunda Risu,2020-04-10,hololive ID 1st Generation,https://www.youtube.com/@AyundaRisu,890K subscribers,1.1K videos
🔮,Moona Hoshinova,2020-04-11,hololive ID 1st Generation,https://www.youtube.com/@MoonaHoshinova,1.36M subscribers,918 videos
🎨,Airani Iofifteen,2020-04-12,hololive ID 1st Generation,https://www.youtube.com/@AiraniIofifteen,760K subscribers,1.2K videos
🧟‍♀️,Kureiji Ollie,2020-12-04,hololive ID 2nd Generation,https://www.youtube.com/@KureijiOllie,1.34M subscribers,1.2K videos
🍂,Anya Melfissa,2020-12-05,hololive ID 2nd Generation,https://www.youtube.com/@AnyaMelfissa,709K subscribers,872 videos
🦚,Pavolia Reine,2020-12-06,hololive ID 2nd Generation,https://www.youtube.com/@PavoliaReine,802K subscribers,1.3K videos
💀,Mori Calliope,2020-09-12,hololive EN -Myth-,https://www.youtube.com/@MoriCalliope,2.43M subscribers,1.2K videos
🐔,Takanashi Kiara,2020-09-12,hololive EN -Myth-,https://www.youtube.com/@TakanashiKiara,1.54M subscribers,1.2K videos
🐙,Ninomae Ina'nis,2020-09-13,hololive EN -Myth-,https://www.youtube.com/@NinomaeInanis,1.58M subscribers,754 videos
🔱,Gawr Gura,2020-09-13,hololive EN -Myth-,https://www.youtube.com/@GawrGura,4.51M subscribers,537 videos
🔎,Watson Amelia,2020-09-13,hololive EN -Myth-,https://www.youtube.com/@WatsonAmelia,1.77M subscribers,902 videos
💎,IRyS,2021-07-11,hololive EN -Promise-,https://www.youtube.com/@IRyS,1.03M subscribers,520 videos
🌿,Ceres Fauna,2021-08-22,hololive EN -Promise-,https://www.youtube.com/@CeresFauna,887K subscribers,655 videos
⏳,Ouro Kronii,2021-08-22,hololive EN -Promise-,https://www.youtube.com/@OuroKronii,988K subscribers,469 videos
🪶,Nanashi Mumei,2021-08-22,hololive EN -Promise-,https://www.youtube.com/@NanashiMumei,1.09M subscribers,478 videos
🎲,Hakos Baelz,2021-08-22,hololive EN -Promise-,https://www.youtube.com/@HakosBaelz,947K subscribers,880 videos
🛸💜,La+ Darknesss,2021-11-26,hololive 6th Generation,https://www.youtube.com/@LaplusDarknesss,1.23M subscribers,592 videos
🥀,Takane Lui,2021-11-27,hololive 6th Generation,https://www.youtube.com/@TakaneLui,956K subscribers,1.3K videos
🧪,Hakui Koyori,2021-11-28,hololive 6th Generation,https://www.youtube.com/@HakuiKoyori,1.17M subscribers,1.9K videos
🎣,Sakamata Chloe,2021-11-29,hololive 6th Generation,https://www.youtube.com/@SakamataChloe,1.29M subscribers,573 videos
🍃,Kazama Iroha,2021-11-30,hololive 6th Generation,https://www.youtube.com/@KazamaIroha,962K subscribers,744 videos
📜,Vestia Zeta,2022-03-25,hololive ID 3rd Generation,https://www.youtube.com/@VestiaZeta,904K subscribers,658 videos
🔨,Kaela Kovalskia,2022-03-26,hololive ID 3rd Generation,https://www.youtube.com/@KaelaKovalskia,781K subscribers,1.2K videos
☔,Kobo Kanaeru,2022-03-27,hololive ID 3rd Generation,https://www.youtube.com/@KoboKanaeru,2.56M subscribers,510 videos
👁️‍🗨️,Shiori Novella,2023-07-29,hololive EN -Advent-,https://www.youtube.com/@ShioriNovella,561K subscribers,405 videos
🗿,Koseki Bijou,2023-07-29,hololive EN -Advent-,https://www.youtube.com/@KosekiBijou,649K subscribers,348 videos
🎼,Nerissa Ravencroft,2023-07-30,hololive EN -Advent-,https://www.youtube.com/@NerissaRavencroft,752K subscribers,275 videos
🐾,Fuwawa and Mococo Abyssgard,2023-07-30,hololive EN -Advent-,https://www.youtube.com/@FUWAMOCOch,934K subscribers,471 videos
🖋️,Hiodoshi Ao,2023-09-09,hololive DEV_IS ReGLOSS,https://www.youtube.com/@HiodoshiAo,525K subscribers,375 videos
🎹✨,Otonose Kanade,2023-09-09,hololive DEV_IS ReGLOSS,https://www.youtube.com/@OtonoseKanade,458K subscribers,313 videos
🌃,Ichijou Ririka,2023-09-09,hololive DEV_IS ReGLOSS,https://www.youtube.com/@IchijouRirika,510K subscribers,571 videos
🐚,Juufuutei Raden,2023-09-10,hololive DEV_IS ReGLOSS,https://www.youtube.com/@JuufuuteiRaden,686K subscribers,295 videos
🐧⚡️,Todoroki Hajime,2023-09-10,hololive DEV_IS ReGLOSS,https://www.youtube.com/@TodorokiHajime,542K subscribers,337 videos
💄,Elizabeth Rose Bloodflame,2024-06-21,hololive EN -Justice-,https://www.youtube.com/@holoen_erbloodflame,369K subscribers,53 videos
👧,Gigi Murin,2024-06-21,hololive EN -Justice-,https://www.youtube.com/@holoen_gigimurin,282K subscribers,69 videos
🍵,Cecilia Immergreen,2024-06-22,hololive EN -Justice-,https://www.youtube.com/@holoen_ceciliaimmergreen,308K subscribers,74 videos
